nm,W/sm/nm,W/sm
199.5,0.00500000,0.00358361
199.6,0.00520000,0.00373693
199.7,0.00540000,0.00389116
199.8,0.00560000,0.00404600
199.9,0.00580000,0.00420116
200.0,0.00600000,0.00435635
200.1,0.00620000,0.00451129
200.2,0.00640000,0.00466568
200.3,0.00660000,0.00481928
200.4,0.00680000,0.00497182
200.5,0.00700000,0.00512305
200.6,0.00700000,0.00527276
200.7,0.00700000,0.00542073
200.8,0.00700000,0.00556677
200.9,0.00700000,0.00571069
201.0,0.00700000,0.00585235
201.1,0.00700000,0.00599160
201.2,0.00700000,0.00612832
201.3,0.00700000,0.00626242
201.4,0.00700000,0.00639381
201.5,0.00700000,0.00652244
201.6,0.00710000,0.00664826
201.7,0.00720000,0.00677125
201.8,0.00730000,0.00689142
201.9,0.00740000,0.00700877
202.0,0.00750000,0.00712333
202.1,0.00760000,0.00723517
202.2,0.00770000,0.00734434
202.3,0.00780000,0.00745093
202.4,0.00790000,0.00755503
202.5,0.00800000,0.00765676
202.6,0.00810000,0.00775623
202.7,0.00820000,0.00785358
202.8,0.00830000,0.00794897
202.9,0.00840000,0.00804254
203.0,0.00850000,0.00813449
203.1,0.00860000,0.00822498
203.2,0.00870000,0.00831421
203.3,0.00880000,0.00840238
203.4,0.00890000,0.00848972
203.5,0.00900000,0.00857643
203.6,0.00900000,0.00866277
203.7,0.00900000,0.00874896
203.8,0.00900000,0.00883526
203.9,0.00900000,0.00892194
204.0,0.00900000,0.00900927
204.1,0.00900000,0.00909753
204.2,0.00900000,0.00918700
204.3,0.00900000,0.00927800
204.4,0.00900000,0.00937082
204.5,0.00900000,0.00946579
204.6,0.00910000,0.00956322
204.7,0.00920000,0.00966347
204.8,0.00930000,0.00976685
204.9,0.00940000,0.00987372
205.0,0.00950000,0.00998443
205.1,0.00960000,0.01009933
205.2,0.00970000,0.01021878
205.3,0.00980000,0.01034314
205.4,0.00990000,0.01047277
205.5,0.01000000,0.01060802
205.6,0.01000000,0.01074924
205.7,0.01000000,0.01089680
205.8,0.01000000,0.01105101
205.9,0.01000000,0.01121222
206.0,0.01000000,0.01138074
206.1,0.01000000,0.01155687
206.2,0.01000000,0.01174089
206.3,0.01000000,0.01193308
206.4,0.01000000,0.01213368
206.5,0.01000000,0.01234290
206.6,0.01010000,0.01256094
206.7,0.01020000,0.01278795
206.8,0.01030000,0.01302408
206.9,0.01040000,0.01326941
207.0,0.01050000,0.01352401
207.1,0.01060000,0.01378789
207.2,0.01070000,0.01406105
207.3,0.01080000,0.01434342
207.4,0.01090000,0.01463492
207.5,0.01100000,0.01493539
207.6,0.01140000,0.01524467
207.7,0.01180000,0.01556251
207.8,0.01220000,0.01588867
207.9,0.01260000,0.01622282
208.0,0.01300000,0.01656463
208.1,0.01340000,0.01691369
208.2,0.01380000,0.01726960
208.3,0.01420000,0.01763189
208.4,0.01460000,0.01800007
208.5,0.01500000,0.01837362
208.6,0.01590000,0.01875199
208.7,0.01680000,0.01913460
208.8,0.01770000,0.01952088
208.9,0.01860000,0.01991020
209.0,0.01950000,0.02030196
209.1,0.02040000,0.02069552
209.2,0.02130000,0.02109027
209.3,0.02220000,0.02148556
